country,year,age_group,fpr
dza,1993,35_39,6.974423
dza,1993,40_44,9.747013
dza,1993,45_49,8.160816
dza,1993,50_54,9.489132000000001
dza,1993,55_59,7.6
dza,1993,60_64,3.7732040000000002
dza,1993,65,0.9177854999999999
dza,1993,total_15,10.76448
dza,1994,15_19,8.456309
dza,1994,20_24,19.606370000000002
dza,1994,25_29,17.93631
dza,1994,30_34,10.8313
dza,1994,35_39,6.812825999999999
dza,1994,40_44,9.928335
dza,1994,45_49,8.206973
dza,1994,50_54,9.752864
dza,1994,55_59,7.6
dza,1994,60_64,3.769868
dza,1994,65,0.8132
dza,1994,total_15,11.084810000000001
dza,1995,15_19,9.383133
dza,1995,20_24,20.29427
dza,1995,25_29,18.315070000000002
dza,1995,30_34,10.91536
dza,1995,35_39,6.654706
dza,1995,40_44,10.11265
dza,1995,45_49,8.253366999999999
dza,1995,50_54,10.02312
dza,1995,55_59,7.6
dza,1995,60_64,3.7665339999999996
dza,1995,65,0.7204458
dza,1995,total_15,11.42175
dza,1996,15_19,10.4
dza,1996,20_24,21.0
dza,1996,25_29,18.7
dza,1996,30_34,11.0
dza,1996,35_39,6.499999
dza,1996,40_44,10.3
dza,1996,45_49,8.300001
dza,1996,50_54,10.3
dza,1996,55_59,7.6
dza,1996,60_64,3.763203
dza,1996,65,0.6382031
dza,1996,total_15,11.77765
dza,1997,15_19,9.980378
dza,1997,20_24,20.00574
dza,1997,25_29,19.06315
dza,1997,30_34,11.76292
dza,1997,35_39,7.139975
dza,1997,40_44,10.7438
dza,1997,45_49,8.644511
dza,1997,50_54,10.35153
dza,1997,55_59,7.905077
dza,1997,60_64,3.8370800000000003
dza,1997,65,0.6454589
dza,1997,total_15,11.78974
dza,1998,15_19,9.575878999999999
dza,1998,20_24,19.04721
dza,1998,25_29,19.43166
dza,1998,30_34,12.57128
dza,1998,35_39,7.837679
dza,1998,40_44,11.20434
dza,1998,45_49,9.001917
dza,1998,50_54,10.40328
