country,year,age_group,flf0
arm,2019,45_49,59.845390
arm,2019,50_54,65.919060
arm,2019,55_59,81.773440
arm,2019,60_64,47.624400
arm,2019,65,43.377150
arm,2019,total_15,674.930400
arm,2020,15_19,27.769900
arm,2020,20_24,31.758170
arm,2020,25_29,66.694220
arm,2020,30_34,82.379560
arm,2020,35_39,91.623120
arm,2020,40_44,76.269680
arm,2020,45_49,60.848190
arm,2020,50_54,61.892650
arm,2020,55_59,79.419020
arm,2020,60_64,49.096370
arm,2020,65,44.991150
arm,2020,total_15,672.742000
aus,2010,15_19,422.443800
aus,2010,20_24,607.371000
aus,2010,25_29,595.048400
aus,2010,30_34,531.807900
aus,2010,35_39,593.482200
aus,2010,40_44,589.077700
aus,2010,45_49,638.143000
aus,2010,50_54,570.919000
aus,2010,55_59,430.602100
aus,2010,60_64,264.808700
aus,2010,65,109.455300
aus,2010,total_15,5353.159000
aus,2011,15_19,422.681900
aus,2011,20_24,608.664200
aus,2011,25_29,606.618000
aus,2011,30_34,537.681500
aus,2011,35_39,592.547900
aus,2011,40_44,597.202700
aus,2011,45_49,638.719300
aus,2011,50_54,582.801600
aus,2011,55_59,437.730000
aus,2011,60_64,271.514600
aus,2011,65,112.830800
aus,2011,total_15,5408.992000
aus,2012,15_19,423.133200
aus,2012,20_24,607.368700
aus,2012,25_29,615.779400
aus,2012,30_34,549.639500
aus,2012,35_39,584.092600
aus,2012,40_44,611.102800
aus,2012,45_49,634.352600
aus,2012,50_54,594.487500
aus,2012,55_59,446.533100
aus,2012,60_64,274.687300
aus,2012,65,116.623300
aus,2012,total_15,5457.800000
aus,2013,15_19,423.312400
aus,2013,20_24,604.483900
aus,2013,25_29,622.661300
aus,2013,30_34,565.244600
aus,2013,35_39,572.052400
aus,2013,40_44,627.066500
aus,2013,45_49,628.129400
aus,2013,50_54,604.826900
aus,2013,55_59,456.436000
aus,2013,60_64,275.727200
aus,2013,65,120.703400
aus,2013,total_15,5500.644000
aus,2014,15_19,422.740800
aus,2014,20_24,601.414700
aus,2014,25_29,627.616300
aus,2014,30_34,580.480400
aus,2014,35_39,563.028100
aus,2014,40_44,639.039800
aus,2014,45_49,624.900100
aus,2014,50_54,612.187300
aus,2014,55_59,466.400900
aus,2014,60_64,276.975600
aus,2014,65,124.856600
aus,2014,total_15,5539.641000
aus,2015,15_19,421.386700
aus,2015,20_24,598.876900
aus,2015,25_29,630.902000
aus,2015,30_34,593.004400
aus,2015,35_39,561.163800
aus,2015,40_44,643.511000
aus,2015,45_49,627.542700
aus,2015,50_54,615.867600
aus,2015,55_59,475.807100
aus,2015,60_64,279.910400
aus,2015,65,128.947600
aus,2015,total_15,5576.920000
aus,2016,15_19,421.339800
aus,2016,20_24,596.049000
aus,2016,25_29,631.055400
aus,2016,30_34,603.911100
aus,2016,35_39,565.995600
aus,2016,40_44,641.033800
aus,2016,45_49,635.150800
aus,2016,50_54,616.139500
aus,2016,55_59,485.453000
aus,2016,60_64,284.418800
aus,2016,65,132.836300
aus,2016,total_15,5613.383000
aus,2017,15_19,420.894800
aus,2017,20_24,594.149900
aus,2017,25_29,628.713300
aus,2017,30_34,612.568600
aus,2017,35_39,577.358100
aus,2017,40_44,631.076700
aus,2017,45_49,648.928500
aus,2017,50_54,611.824000
aus,2017,55_59,495.126700
aus,2017,60_64,290.160100
aus,2017,65,136.712400
aus,2017,total_15,5647.513000
aus,2018,15_19,420.539400
aus,2018,20_24,592.994900
aus,2018,25_29,624.904400
aus,2018,30_34,618.821200
aus,2018,35_39,592.784100
aus,2018,40_44,617.841400
